ID,Airline name ,Travel,Time,Stops,Ticket prize(Doller),Depreture  Airport,Depreture Time,1st Stoppage Waiting Hour,1st Stoppage,2nd StoppageWaiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
1154,Saudia,19h,25m,1,552,DXB,10:40a,11h 0m,JED,,,,,BKK,01:25p,   Apr 8
1155,Saudia,12h,20m,1,552,DXB,10:40a,4h 0m,JED,,,,,BKK,10:15a,   Apr 8
1156,Saudia,10h,25m,1,552,DXB,10:40a,2h 10m,JED,,,,,BKK,01:25p,   Apr 8
1157,Multiple,7h,20m,1,535,DXB,06:20a,2h 15m,HYD,,,,,BKK,10:15a,   Apr 8
1158,Multiple,18h,40m,1,532,DXB,06:55a,11h 10m,CCU,,,,,BKK,01:25p,   Apr 8
1159,Multiple,11h,35m,1,532,DXB,02:00p,3h 55m,CCU,,,,,BKK,10:15a,   Apr 8
1160,Air India,9h,45m,1,522,DXB,05:30a,3h 55m,COK,,,,,BKK,10:15a,   Apr 8
1161,Ethiopian,18h,35m,1,497,DXB,11:05a,8h 50m,ADD,,,,,BKK,11:30a,   Apr 8
1162,Ethiopian,17h,20m,1,497,DXB,11:05a,7h 45m,ADD,,,,,BKK,10:50a,   Apr 8
1163,GoFirst,8h,30m,1,494,DXB,03:20p,2h 50m,CNN,,,,,BKK,10:50a,   Apr 8
1164,Multiple,18h,30m,1,489,DXB,07:10p,13h 5m,HYD,,,,,BKK,07:55p,   Apr 8
1165,Multiple,15h,0m,1,489,DXB,10:40p,9h 55m,HYD,,,,,BKK,07:55p,   Apr 8
1166,Multiple,24h,40m,1,458,DXB,02:00p,16h 55m,CCU,,,,,BKK,07:55p,   Apr 8
1167,Multiple,21h,25m,1,458,DXB,05:15p,13h 55m,CCU,,,,,BKK,04:10a,   Apr 8
1168,IndiGo,8h,35m,1,449,DXB,05:35p,2h 55m,CCJ,,,,,BKK,08:45a,   Apr 8
